19813,t19813.jp2,liv/t19813.jp2,9/9c5b2ee4-ae56-466b-b0ed-8623a57c6452.jp2
13575,w13575.jp2,web/w13575.jp2,d/d5a8a651-e72a-4151-9bb3-c2d5e08ddeee.jp2
42571,(42571).jp2,archive/crsbi_gl_archive/(42571).jp2,b/bd4f2b6e-82da-47de-b091-9391ff2b0eaf.jp2
27141,27141.jp2,archive/crsbi_hu_archive/27141.jp2,2/2d3ab28d-fe18-4753-900c-d761c93b7d37.jp2
31972,31972.jp2,archive/crsbi_ye_archive/31972.jp2,2/2ab5b22a-423c-4a89-824f-157d25d28fb7.jp2
48336,w48336.jp2,web/w48336.jp2,e/eb9caf6c-3d93-4a03-ace5-819562967a24.jp2
15836,w15836.jp2,web/w15836.jp2,0/0bef2cca-67c0-4fae-b124-e0e221223dee.jp2
3853,w3853.jp2,web/w3853.jp2,5/5fb207d9-149e-4196-a3aa-e2b429dc640b.jp2
27398,27398.jp2,archive/crsbi_nh_archive/27398.jp2,3/31017cef-91e1-4b84-90d4-a6cbf689a19c.jp2
47166,w47166.jp2,web/w47166.jp2,f/f3c023e9-4c62-44fc-b1f8-82d1b9c006d3.jp2
Dscn0658-18410,Dscn0658-18410.jp2,archive/crsbi_ca_archive/Dscn0658-18410.jp2,f/fea62869-f252-4069-9c93-4063e4549956.jp2
49410,w49410.jp2,web/w49410.jp2,4/46a4df28-6498-47c2-b121-cff79c1e4b2b.jp2
39360,w39360.jp2,web/w39360.jp2,3/38873d4c-2798-45fa-bcfa-3896bcc1e825.jp2
11441,w11441.jp2,web/w11441.jp2,6/6d622e56-aea5-441b-ae17-2cf9db5e2adf.jp2
28428-knebw2657,28428-knebw2657.jp2,archive/crsbi_ht_archive/28428-knebw2657.jp2,4/4c54d29f-874c-4d2f-9c3c-c658bfaaa9ab.jp2
9559,w9559.jp2,web/w9559.jp2,5/5d7114c4-7472-4493-89b8-cd1e3cd537e9.jp2
